original_order,id,title,multiauthored,authors,repeat_author
286,195791072,Women in the Valley of the Kings: The Untold Story of Women Egyptologists in the Gilded Age,0,Kathleen Sheppard,0
287,204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,0,Yuval Noah Harari,1
288,201626940,Ask Not: The Kennedys and the Women They Destroyed,0,Maureen Callahan,1
289,199798785,Challenger: A True Story of Heroism and Disaster on the Edge of Space,0,Adam Higginbotham,1
290,62315849,"The Lost Tomb: And Other Real-Life Stories of Bones, Burials, and Murder",1,Douglas Preston,1
290,62315849,"The Lost Tomb: And Other Real-Life Stories of Bones, Burials, and Murder",1,David Grann,1
291,198563695,When Women Ran Fifth Avenue: Glamour and Power at the Dawn of American Fashion,0,Julie Satow,0
292,177188695,Not Your China Doll: The Wild and Shimmering Life of Anna May Wong,0,Katie Gee Salisbury,0
293,145624993,Madness: Race and Insanity in a Jim Crow Asylum,0,Antonia Hylton,0
294,199393033,By the Fire We Carry: The Generations-Long Fight for Justice on Native Land,0,Rebecca Nagle,0
295,198493808,The Situation Room: The Inside Story of Presidents in Crisis,1,George Stephanopoulos,0
295,198493808,The Situation Room: The Inside Story of Presidents in Crisis,1,Lisa Dickey,0
296,191746386,"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook",0,Hampton Sides,1
297,199797834,When the Sea Came Alive: An Oral History of D-Day,0,Garrett M. Graff,1
298,203767605,The Siege: A Six-Day Hostage Crisis and the Daring Special-Forces Operation That Shocked the World,0,Ben Macintyre,1
299,145624514,"Everyone Who Is Gone Is Here: The United States, Central America, and the Making of a Crisis",0,Jonathan Blitzer,0
300,210246743,"Eden Undone: A True Story of Sex, Murder, and Utopia at the Dawn of World War II",0,Abbott Kahler,0
301,62047984,Yellowface,0,R.F. Kuang,1
302,61771675,Hello Beautiful,0,Ann Napolitano,1
303,62926992,The Wishing Game,0,Meg Shaffer,1
304,63241104,Tom Lake,0,Ann Patchett,1
305,62873996,The Five-Star Weekend,0,Elin Hilderbrand,1
306,62971668,Someone Else's Shoes,0,Jojo Moyes,1
307,62919793,The Invisible Hour,0,Alice Hoffman,1
308,60784605,Maame,0,Jessica George,0
309,61214136,The Collected Regrets of Clover,0,Mikki Brammer,0
310,61246258,Pineapple Street,0,Jenny Jackson,0
311,60701439,Big Swiss,0,Jen Beagin,0
312,62919375,Shark Heart,0,Emily Habeck,0
313,59381516,Evil Eye,0,Etaf Rum,1
314,62049729,The Celebrants,0,Steven Rowley,1
315,60784757,Birnam Wood,0,Eleanor Catton,1
316,61815336,The Connellys of County Down,0,Tracey Lange,1
317,62039166,The Bee Sting,0,Paul Murray,0
318,65650229,Wellness,0,Nathan Hill,1
319,65215321,Blackouts,0,Justin Torres,0
320,123414019,Family Meal,0,Bryan Washington,0
321,60654349,Weyward,0,Emilia Hart,0
322,180357146,The Covenant of Water,0,Abraham Verghese,1
323,62919732,Lady Tan’s Circle of Women,0,Lisa See,1
324,65678550,The Heaven & Earth Grocery Store,0,James McBride,1
325,62054146,The Keeper of Hidden Books,0,Madeline Martin,1
326,62060274,The Echo of Old Books,0,Barbara Davis,0
327,61273858,The House of Eve,0,Sadeqa Johnson,1
328,62583516,The Wind Knows My Name,1,Isabel Allende,1
328,62583516,The Wind Knows My Name,1,Francis Riddle,0
329,61796683,Did You Hear About Kitty Karr?,0,Crystal Smith Paul,0
330,61273371,Looking for Jane,0,Heather Marshall,0
331,63922274,Go as a River,0,Shelley Read,0
332,62327255,The Paris Daughter,0,Kristin Harmel,1
333,61964751,The Secret Book of Flora Lea,0,Patti Callahan Henry,0
334,87556695,Let Us Descend,0,Jesmyn Ward,1
335,61272702,Hang the Moon,0,Jeannette Walls,1
336,60784759,"Beyond That, the Sea",0,Laura Spence-Ash,0
337,61111298,River Sing Me Home,0,Eleanor Shearer,0
338,62800971,Banyan Moon,0,Thao Thai,0
339,62952130,The Vaster Wilds,0,Lauren Groff,1
340,71872930,North Woods,0,Daniel Mason,0
341,62848145,The Housemaid's Secret,0,Freida McFadden,1
342,62334530,None of This Is True,0,Lisa Jewell,1
343,62703226,The Only One Left,0,Riley Sager,1
344,62226126,The Last Devil to Die,0,Richard Osman,1
345,61327512,Vera Wong's Unsolicited Advice for Murderers,0,Jesse Q. Sutanto,1
346,101124639,Bright Young Women,0,Jessica Knoll,1
347,60784636,All the Dangerous Things,0,Stacy Willingham,1
348,61683285,Homecoming,0,Kate Morton,1
349,61053829,I Have Some Questions for You,0,Rebecca Makkai,1
350,61884832,All the Sinners Bleed,0,S.A. Cosby,1
351,101160844,The River We Remember,0,William Kent Krueger,1
352,60784373,What Lies in the Woods,0,Kate Alice Marshall,0
353,60784641,The Villa,0,Rachel Hawkins,1
354,63833664,After That Night,0,Karin Slaughter,1
355,123423832,The Coworker,0,Freida McFadden,1
356,75495002,Happiness Falls,0,Angie Kim,1
357,83668030,Good Bad Girl,0,Alice Feeney,1
358,80830635,Don't Let Her Stay,0,Nicola Sanders,0
359,78296909,The Leftover Woman,0,Jean Kwok,1
360,60588456,The Maid's Diary,0,Loreth Anne White,0
361,61718053,Happy Place,0,Emily Henry,1
362,61326735,"Love, Theoretically",0,Ali Hazelwood,1
363,61918816,Yours Truly,0,Abby Jimenez,1
364,62022434,Things We Hide from the Light,0,Lucy Score,1
365,62628727,Romantic Comedy,0,Curtis Sittenfeld,1
366,61681786,Final Offer,0,Lauren Asher,1
367,62994279,King of Pride,0,Ana Huang,1
368,84943172,The Right Move,0,Liz Tomforde,1
369,62926938,The Seven Year Slip,0,Ashley Poston,1
370,101145836,Wildfire,0,Hannah Grace,1
371,61797464,Meet Me at the Lake,0,Carley Fortune,1
372,123194693,Pucking Around,0,Emily Rath,0
373,62361081,The True Love Experiment,0,Christina Lauren,1
374,61897968,Practice Makes Perfect,0,Sarah Adams,0
375,63031640,Powerless,0,Elsie Silver,1
376,127152907,In the Likely Event,0,Rebecca Yarros,1
377,61884987,Hello Stranger,0,Katherine Center,1
378,75665887,"You, Again",0,Kate Goldbeck,0
379,62626163,A Long Time Coming,0,Meghan Quinn,0
380,101144869,The Long Game,0,Elena Armas,1
381,61431922,Fourth Wing,0,Rebecca Yarros,1
382,123257687,Assistant to the Villain,0,Hannah Nicole Maehrer,1
383,62335396,The Ashes & the Star-Cursed King,0,Carissa Broadbent,1
384,63847274,A Soul of Ash and Blood,0,Jennifer L. Armentrout,1
385,59808792,Sorrow and Starlight,1,Caroline Peckham,1
385,59808792,Sorrow and Starlight,1,Susanne Valenti,1
386,73071451,Throne of the Fallen,0,Kerri Maniscalco,1
387,75668288,The Hurricane Wars,0,Thea Guanzon,0
388,63127235,The Hanging City,0,Charlie N. Holmberg,0
389,61150440,A Fire in the Flesh,0,Jennifer L. Armentrout,1
390,60581370,The Jasad Heir,0,Sara Hashem,0
391,56587784,A Game of Gods,0,Scarlett St. Clair,1
392,59397314,The Foxglove King,0,Hannah F. Whitten,1
393,75396525,The Coven,0,Harper L. Woods,0
394,65214365,Fall of Ruin and Wrath,0,Jennifer L. Armentrout,1
395,60225993,Bewitched,0,Laura Thalassa,1
396,123368729,Slaying the Vampire Conqueror,0,Carissa Broadbent,1
397,191754348,Rule of the Aurora King,0,Nisha J. Tuli,1
398,62004837,A Queen of Thieves & Chaos,0,K.A. Tucker,1
399,122779502,A Court This Cruel & Lovely,0,Stacia Stark,1
400,195775182,A Dawn of Onyx,0,Kate Golden,1
401,60652997,Hell Bent,0,Leigh Bardugo,1
402,63068384,Tress of the Emerald Sea,1,Brandon Sanderson,1
402,63068384,Tress of the Emerald Sea,1,Howard Lyon,0
403,60766189,A Day of Fallen Night,0,Samantha Shannon,1
404,60657589,Emily Wilde's Encyclopaedia of Faeries,0,Heather Fawcett,1
405,65213543,Bookshops & Bonedust,0,Travis Baldree,1
406,111673828,The Fragile Threads of Power,0,Victoria E. Schwab,1
407,36679274,Sword Catcher,0,Cassandra Clare,1
408,61294937,The Adventures of Amina al-Sirafi,0,Shannon Chakraborty,0
409,65213595,Starling House,0,Alix E. Harrow,1
410,66087062,The Unmaking of June Farrow,0,Adrienne Young,1
411,61102615,Stone Blind,0,Natalie Haynes,0
412,61612864,The Book That Wouldn’t Burn,0,Mark Lawrence,1
413,62854842,Ink Blood Sister Scribe,0,Emma Törzs,0
414,61361681,Clytemnestra,0,Costanza Casati,0
